"","year","n.all","n.msm","n.het","n.pwid","perc.msm","perc.pwid","perc.het"
"1",1987,9,8,1,1,88.8888888888889,11.1111111111111,11.1111111111111
"2",1988,36,33,1,2,91.6666666666667,5.55555555555556,2.77777777777778
"3",1989,204,167,11,25,81.8627450980392,12.2549019607843,5.3921568627451
"4",1990,254,210,12,31,82.6771653543307,12.2047244094488,4.7244094488189
"5",1991,232,185,16,26,79.7413793103448,11.2068965517241,6.89655172413793
"6",1992,248,179,27,34,72.1774193548387,13.7096774193548,10.8870967741935
"7",1993,615,412,69,109,66.9918699186992,17.7235772357724,11.219512195122
"8",1994,344,192,64,73,55.8139534883721,21.2209302325581,18.6046511627907
"9",1995,462,228,97,133,49.3506493506493,28.7878787878788,20.995670995671
"10",1996,992,423,239,384,42.6411290322581,38.7096774193548,24.0927419354839
"11",1997,799,292,167,345,36.5456821026283,43.1789737171464,20.90112640801
"12",1998,542,161,127,219,29.7047970479705,40.4059040590406,23.4317343173432
"13",1999,472,123,115,179,26.0593220338983,37.9237288135593,24.364406779661
"14",2000,374,93,87,129,24.8663101604278,34.4919786096257,23.2620320855615
"15",2001,308,82,73,118,26.6233766233766,38.3116883116883,23.7012987012987
"16",2002,295,80,69,119,27.1186440677966,40.3389830508475,23.3898305084746
"17",2003,324,90,88,136,27.7777777777778,41.9753086419753,27.1604938271605
"18",2004,307,78,78,135,25.4071661237785,43.9739413680782,25.4071661237785
"19",2005,348,94,96,154,27.0114942528736,44.2528735632184,27.5862068965517
"20",2006,380,95,120,150,25,39.4736842105263,31.5789473684211
"21",2007,451,123,142,183,27.2727272727273,40.5764966740577,31.4855875831486
"22",2008,479,133,116,176,27.7661795407098,36.7432150313152,24.2171189979123
"23",2009,500,126,96,187,25.2,37.4,19.2
"24",2010,459,119,67,142,25.9259259259259,30.9368191721133,14.5969498910675
"25",2011,508,125,65,151,24.6062992125984,29.7244094488189,12.7952755905512
"26",2012,418,125,53,100,29.9043062200957,23.9234449760766,12.6794258373206
"27",2013,376,95,45,64,25.2659574468085,17.0212765957447,11.968085106383
"28",2014,351,143,73,67,40.7407407407407,19.0883190883191,20.7977207977208
"29",2015,328,148,117,61,45.1219512195122,18.5975609756098,35.6707317073171
"30",2016,293,141,89,49,48.122866894198,16.7235494880546,30.3754266211604
"31",2017,228,125,52,25,54.8245614035088,10.9649122807018,22.8070175438596
"32",2018,206,101,48,34,49.0291262135922,16.504854368932,23.3009708737864
"33",2019,185,92,47,39,49.7297297297297,21.0810810810811,25.4054054054054
"34",2020,156,68,50,36,43.5897435897436,23.0769230769231,32.0512820512821
"35",2021,149,70,46,37,46.9798657718121,24.8322147651007,30.8724832214765
"36",2022,143,74,33,17,51.7482517482517,11.8881118881119,23.0769230769231
